ctrl.blood.1	ctrl.blood.2	ctrl.blood.3	ctrl.blood.4	patn.blood.1	patn.blood.2	patn.blood.3	patn.blood.4
NM_015665	5.7944518621	6.1085576768	6.1312156301	5.8924807602	6.1652939543	6.0311596711	5.9718778703	6.1211783686
NM_020792	6.0546197426	6.2236200513	6.0557718887	6.4820901553	6.1811936536	6.2075577435	6.3232555264	6.165085556
NM_001087	6.5449013018	6.5557419579	6.2919460362	6.4077858113	6.3624432596	5.9980179481	6.175934487	6.1104252155
NM_001605	9.046943935	8.490768701	9.0774122793	9.4214897108	8.9743897068	8.5427481465	8.5601357777	8.8602614109
NM_012138	9.3665450504	9.0413017476	9.3541344021	9.0255060706	9.0344264858	8.8400714517	8.7360411864	9.0626013052
NM_212533	6.4634497036	6.5557419579	5.9945803844	6.3695750232	6.3792178462	6.4290385708	6.5859199998	6.341854335
NM_019112	NA	9.4169291182	9.3092261252	9.3881648592	9.7441069628	9.8556113559	9.1628131391	8.9761383574
NM_004299	6.1546475417	6.089548653	6.4353840226	6.5463053334	6.056052618	6.2203996444	5.9068999878	6.0349200413
NM_033450	6.0513222249	6.2178716185	6.0200622019	6.2385843926	6.1575356566	6.0401883743	6.3025769281	6.3686716847
NM_000033	7.3058694844	7.3862913923	7.0442504207	6.7949618724	7.2324998175	7.4103305722	7.4859464999	6.8337440096
NM_018358	6.8155472445	6.270549015	6.2647807212	6.4666948613	6.5555798361	6.300544524	6.4983128164	6.5125803173
NM_015407	6.9689093244	6.6244562162	7.0885305195	7.1340136236	7.1486866153	6.7978848793	6.628239201	6.9772104426
NM_138340	7.8729404179	8.1544090705	7.4755898894	7.6354506918	8.1443161599	8.3307286713	8.1830856851	8.1003380637
NM_022060	7.0509423537	7.146630005	6.5762501064	6.6142358217	6.7613540454	6.9183741672	7.0611683554	7.1748291675
NM_020676	6.0246548565	6.1241921409	5.8801112532	6.3878559208	6.2967392878	6.0231110779	6.0918491763	6.0109100495
NM_005157	7.531545377	7.5820483365	8.2871423376	7.894420151	7.3969777809	7.7564091896	7.1989824014	7.5879916378
NM_006111	6.3428647919	6.4466412323	6.8518471711	6.8303877672	6.3997130184	6.4157779748	6.232458923	NA
NM_198839	6.3659773678	6.535418769	6.2860830291	6.6583440387	NA	6.4541510134	6.359904763	6.4261063335
NM_000017	6.2496103787	6.1704177976	6.1131848341	5.9405502556	6.2855126688	6.1071496658	6.2223970425	6.2087394503
NM_005891	7.3539730856	7.1369528907	7.5893906042	7.7320504133	7.438459023	7.3954417294	7.2283471947	7.5796335211
NM_022735	7.5613932696	7.499273418	7.2175083345	7.746459202	7.5412381327	7.738114837	7.283868621	7.609847736
NM_022914	7.7527121417	7.3591348673	7.2087232628	7.205781696	7.5639064503	7.4637143514	7.5386434265	7.4897268341
NM_198830	8.7684579672	9.3859337717	9.251233537	9.3342189876	8.9944257732	9.1669405175	8.9723030818	9.3864916327
NM_002197	7.4422317172	7.4461558125	7.3992173125	7.5453458984	7.6165979864	7.5585615993	7.3333185929	7.6925378137
NM_006821	6.3916359798	6.0684505314	6.5328209104	6.3911082727	6.4824306397	6.5147561511	6.4837721909	6.3475107732
NM_007274	NA	5.9765899621	6.0059630699	6.1728830086	6.1096024968	6.188361001	6.1506194527	5.9788722027
NM_005469	6.1213311199	6.0334622959	6.3171754079	6.147525895	6.2757071427	5.845106071	6.0361269836	6.125792758
NM_007292	6.8971000717	6.769392492	6.0267558572	6.2304471231	6.9186079279	6.9960019932	7.6668689658	6.7454252672
NM_001040649	8.6869175035	8.4447962305	8.8283781268	8.8690827329	8.795849388	9.1160338226	8.7663472486	9.1138677141
NM_016361	6.0901196727	6.2303224799	5.890346656	5.9284908133	6.3229790608	6.2629010559	6.4960205814	6.1626938134
NM_152282	6.6251671382	6.5564940338	6.1724376364	6.6410775294	6.4938015848	6.6848922574	6.9486665638	6.5744577774
NM_001099	7.2521760697	7.1369528907	6.7840978179	6.7853581265	7.5330524281	6.736628597	7.5868886816	7.1468070268
NM_203379	6.5963070491	6.9022007423	6.7422774709	7.1181190043	6.7341635715	6.8340214038	6.5511565049	7.0182103466
NM_016234	9.0526915716	8.7056608874	9.1814389468	9.1044427014	8.7181866974	8.7997136924	8.3636143056	8.629547882
NM_032501	7.6749133571	7.2881733879	7.5671222832	7.4381178506	7.416245959	7.2080540741	7.5486849626	7.3319410032
NM_001076552	9.2001357111	9.0260910041	9.0814435781	9.3824479434	9.0986841682	9.0462418356	9.2499312671	9.1114239809
NM_001101	13.8474707436	13.5611902917	13.5586097413	13.4949977758	14.0146544454	13.9926797325	14.0445297927	13.8553985771
NM_001614	13.3337664632	12.6855141438	13.309578272	13.1354005368	13.4403481886	13.3422302266	13.5027361562	13.3909644424
NM_177989	8.2922249213	7.6760632984	7.9394798844	7.9451366359	8.336904842	8.4003684293	7.8370843883	8.0414607053
NM_005735	7.7099729852	7.8638848848	8.0119611735	7.8312079176	7.6481606238	7.8378572565	7.7038425979	7.6559002314
NM_005721	7.2031100495	7.5500869007	7.4432898189	7.2001400049	7.4404097002	7.2204536284	7.5734452172	7.5626874598
NM_004302	7.8873904305	7.8945992623	NA	8.0656596508	8.1525999025	8.3417573401	8.5772327908	7.9625801192
NM_001107	6.8735051385	6.6180539431	7.1011000501	7.1039091471	7.1449926679	6.7406168204	6.5898812269	6.8997574124
NM_001110	6.804908943	6.6875320463	6.2789810918	6.914511593	6.9251496604	6.6551531145	6.9090476924	6.9126043193
NM_207195	9.1992751811	8.8108104922	9.325378996	9.4648841126	9.218766824	9.0366166183	8.998278195	9.0196477278
NM_033274	10.4673334614	10.2319249866	10.389660241	9.3280508006	10.1076134788	10.4346307231	10.7484540102	10.1229522297
NM_003817	6.1055766539	6.2031794614	6.3039898245	6.1767907748	6.0000303308	5.6286694852	5.8646167635	6.444530083
NM_001109	10.3961911099	10.7993883886	10.593068743	10.1101256252	10.0708431156	10.209723759	10.8587779423	10.5414821844
NM_133638	5.9524379321	6.0495815607	6.145439506	5.712476268	5.9374602611	5.9940619755	6.0385022179	5.9715346118
NM_025008	6.3453319937	6.7857374371	6.3987543563	6.5668222841	6.5483481272	6.5669068603	6.4570031395	6.3915471143
NM_015833	7.0052319965	6.8677356883	7.3780266514	7.1402890435	6.906743006	6.9005981477	6.6586680593	7.1247430055
NM_174922	6.7586505478	6.2255616775	6.4483348222	6.3441281621	6.4421665471	6.4360606112	6.4532197133	6.438246703
NM_001114	7.5252261857	7.5206054511	7.7192659746	7.4985085374	7.5444788841	7.4768097778	7.8609101534	7.9233993569
NM_176801	11.1514609376	10.7046129657	11.287761619	11.2460859096	NA	11.0816727395	10.9309307081	11.1056762242
NM_001121	8.0229547614	7.9645460194	8.3093599993	8.0573705545	8.1371444551	8.1963173574	7.8630208821	8.3044367812
NM_024551	9.1801305131	8.9248644816	9.4646061409	9.761793571	9.0028056803	9.2589769411	8.8356469836	9.2235000583
NM_001123	6.6313824668	7.1778685787	7.1398072867	6.6119426238	7.5017207789	6.5419869672	6.3261460694	6.8002859204
